Laser Delay [ns],TA [mOD]
-400,-0.015731
-390,0.153823
-380,-0.017568
-370,-0.030809
-360,-0.231284
-350,-0.042283
-340,-0.100624
-330,0.029170
-320,-0.359242
-310,-0.192736
-300,0.122063
-290,-0.028272
-280,-0.282052
-270,0.068182
-260,0.140664
-250,-0.054287
-240,-0.044643
-230,-0.067505
-220,0.198603
-210,-0.181901
-200,0.012882
-190,-0.027470
-180,0.216036
-170,-0.007753
-160,-0.109661
-150,-0.191685
-140,0.044173
-130,0.150306
-120,-0.113916
-110,-0.079305
-100,0.057694
-90,-0.055646
-80,0.047496
-70,0.144800
-60,-0.127922
-50,-0.059360
-40,-0.199526
-30,0.196377
-20,-0.055673
-10,0.638012
0,1.164259
10,2.512894
20,3.138263
30,4.608937
40,5.160470
50,6.137417
60,7.205089
70,7.999506
80,8.935480
90,10.224919
100,10.869013
110,11.546660
120,11.297387
130,10.929586
140,10.768185
150,10.521554
160,10.278522
170,10.136309
180,9.833092
190,9.564150
200,9.356292
210,9.035302
220,8.707302
230,9.009690
240,8.721882
250,8.722122
260,8.242442
270,8.074919
280,8.053591
290,8.029820
300,7.803219
310,7.484491
320,7.354209
330,7.217358
340,7.288636
350,7.008711
360,6.818381
370,6.704646
380,6.695075
390,6.446790
400,6.587319
410,6.370261
420,5.996631
430,5.742736
440,5.868312
450,5.666582
460,5.588723
470,5.486543
480,5.556737
490,5.579306
500,5.185871
510,5.027712
520,4.755100
530,5.033256
540,4.796989
550,4.646231
560,4.442825
570,4.460837
580,4.495112
590,4.482755
600,4.041308
610,4.031580
620,4.100428
630,4.075511
640,3.998048
650,3.841805
660,3.973657
670,3.626586
680,3.593181
690,3.514769
700,3.560696
710,3.496857
720,3.229304
730,3.135384
740,3.201262
750,3.230660
760,3.054851
770,3.020625
780,2.776855
790,3.031560
800,2.882459
810,2.723322
820,2.813647
830,2.862872
840,2.572457
850,2.665492
860,2.493595
870,2.663769
880,2.397967
890,2.198179
900,2.466851
910,2.182267
920,2.270423
930,2.438446
940,2.250247
950,2.011324
960,2.265287
970,1.964204
980,1.977215
990,2.206697
1000,1.981281
1010,1.791261
1020,1.978931
1030,1.978022
1040,1.776946
1050,1.723153
1060,1.559044
1070,2.018583
1080,1.495891
1090,1.546195
1100,1.615205
1110,1.675077
1120,1.636658
1130,1.478571
1140,1.389060
1150,1.404559
1160,1.564720
1170,1.419290
1180,1.181391
1190,1.255745
1200,1.196435
1210,1.272850
1220,1.176302
1230,1.481998
1240,1.271768
1250,1.284866
1260,1.085123
1270,1.181388
1280,1.479260
1290,0.878894
1300,1.246056
1310,1.016169
1320,0.936716
1330,1.035543
1340,0.650528
1350,0.999542
1360,0.995992
1370,0.818873
1380,0.959491
1390,0.960731
1400,1.089215
1410,0.930817
1420,0.828744
1430,1.018412
1440,0.745770
1450,0.562815
1460,0.749971
1470,0.727979
1480,0.817205
1490,0.737428
1500,0.726834
1510,0.550667
1520,0.635274
1530,0.889905
1540,0.669196
1550,0.504287
1560,0.760206
1570,0.399667
1580,0.669509
1590,0.176078
1600,0.540732
1610,0.578784
1620,0.709727
1630,0.649607
1640,0.667028
1650,0.613179
1660,0.847683
1670,0.698655
1680,0.501984
1690,0.633563
1700,0.529452
1710,0.470422
1720,0.740442
1730,0.248005
1740,0.618663
1750,0.443738
1760,0.533876
1770,0.594382
1780,0.393552
1790,0.357741
1800,0.496673
1810,0.526383
1820,0.402519
1830,0.699339
