Laser Delay [ns],TA1 [mOD],TA2 [mOD],TA3 [mOD],TA4 [mOD],TA5 [mOD]
-400,0.380221,-0.359769,0.040261,0.131612,-0.270978
-390,0.586612,0.348157,-0.181055,-0.190414,0.205815
-380,0.438201,-0.239287,-0.207693,-0.301758,0.222698
-370,-0.467402,-0.630491,0.441468,-0.219037,0.721418
-360,-0.868867,-0.376674,-0.117440,0.573185,-0.366625
-350,-0.132602,-0.405983,0.067112,0.070925,0.189132
-340,0.100818,-0.765585,-0.194206,0.494559,-0.138706
-330,0.804495,-0.050256,0.123930,-0.367580,-0.364741
-320,-0.240513,-0.137522,-0.788827,-0.277833,-0.351518
-310,-0.474616,-0.003343,-0.483271,0.114630,-0.117078
-300,-0.168296,0.146892,0.090250,-0.040431,0.581902
-290,-0.148182,0.005018,0.303875,0.097691,-0.399765
-280,-0.382406,-0.192545,-0.185586,-0.367063,-0.282661
-270,0.308239,0.197726,-0.302614,0.064018,0.073541
-260,-0.151684,0.430559,0.505345,-0.431687,0.350786
-250,0.266270,-0.234453,0.155413,-0.283165,-0.175497
-240,-0.256319,-0.197523,-0.128678,0.023608,0.335697
-230,-0.075909,0.103599,-0.155400,0.282980,-0.492794
-220,0.680547,0.360578,0.250882,-0.148433,-0.150560
-210,-0.028728,-0.444342,-0.061870,-0.406337,0.031772
-200,-0.087991,-0.445280,-0.061860,-0.011811,0.671350
-190,-0.286657,0.126860,0.135622,0.269940,-0.383115
-180,0.686358,-0.322438,0.418576,0.433023,-0.135338
-170,-0.514623,-0.090217,0.805519,-0.277854,0.038411
-160,-0.353608,0.115233,-0.338453,0.013470,0.015053
-150,0.162964,-0.123613,-0.499376,-0.469960,-0.028441
-140,0.182841,0.589950,-0.371551,0.207507,-0.387881
-130,0.233732,0.190332,0.346098,-0.466372,0.447741
-120,-0.015266,0.115219,-0.509891,-0.288291,0.128648
-110,-0.023740,-0.397537,-0.624970,0.370466,0.279254
-100,-0.237587,0.439526,-0.140557,0.328926,-0.101835
-90,0.110534,0.277787,-0.505786,0.188922,-0.349686
-80,0.570724,-0.043432,-0.020050,-0.271431,0.001670
