Pixel,Raw Data
1,1175
2,1352
3,1254
4,1185
5,1208
6,1310
7,1271
8,1174
9,1144
10,1202
11,1245
12,1216
13,1155
14,1245
15,1087
16,1109
17,1165
18,1253
19,1035
20,1104
21,1257
22,1141
23,1147
24,1084
25,1238
26,1110
27,1120
28,1162
29,1230
30,1148
31,1188
32,1166
33,1221
34,1235
35,1102
36,1302
37,1284
38,1317
39,1368
40,1300
41,1383
42,1378
43,1214
44,1332
45,1221
46,1246
47,1251
48,1258
49,1192
50,1275
51,1287
52,1269
53,1203
54,1267
55,1392
56,1209
57,1144
58,1189
59,1202
60,1294
61,1038
62,1313
63,1104
64,1207
65,1164
66,1309
67,1291
68,1186
69,1130
70,1211
71,1160
72,1056
73,1210
74,1240
75,1143
76,1127
77,1106
78,1150
79,1148
80,1264
81,1248
82,1242
83,1339
84,1333
85,1372
86,1225
87,1244
88,1288
89,1260
90,1318
91,1254
92,1381
93,1375
94,1304
95,1223
96,1226
97,1231
98,1246
99,1237
100,1350
101,1167
102,1360
103,1262
104,1277
105,1178
106,1247
107,1253
108,1229
109,1124
110,1133
111,1193
112,1085
113,1197
114,1215
115,1204
116,1224
117,1163
118,1186
119,1065
120,1082
121,1292
122,1175
123,1183
124,1221
125,1101
126,1131
127,1186
128,1208
129,1224
130,1182
131,1236
132,1284
133,1136
134,1313
135,1258
136,1305
137,1242
138,1320
139,1320
140,1344
141,1304
142,1264
143,1276
144,1273
145,1287
146,1215
147,1208
148,1281
149,1163
150,1163
151,1156
152,1151
153,1181
154,1226
155,1208
156,1321
157,1245
158,1089
159,1143
160,1216
161,1250
162,1156
163,1213
164,1155
165,1092
166,1034
167,1168
168,1122
169,1087
170,1189
171,1134
172,1154
173,1352
174,1189
175,1161
176,1217
177,1101
178,1236
179,1268
180,1197
181,1187
182,1295
183,1210
184,1244
185,1218
186,1368
187,1352
188,1373
189,1289
190,1297
191,1377
192,1277
193,1293
194,1334
195,1195
196,1185
197,1258
198,1192
199,1245
200,1237
201,1201
202,1187
203,1315
204,1203
205,1319
206,1066
207,1108
208,1162
209,1081
210,1245
211,1195
212,1154
213,1122
214,1142
215,1084
216,1144
217,1075
218,1218
219,1107
220,1204
221,1057
222,1149
223,1205
224,1255
225,1268
226,1122
227,1204
228,1208
229,1132
230,1245
231,1311
232,1272
233,1244
234,1314
235,1226
236,1272
237,1359
238,1390
239,1261
240,1429
241,1201
242,1225
243,1251
244,1246
245,1162
246,1282
247,1112
248,1235
249,1196
250,1231
251,1134
252,1163
253,1145
254,1224
255,1286
256,1071
257,1151
258,1166
259,1137
260,1113
261,1172
262,1121
263,1046
264,1223
