Pixel,Raw Data
1,1068
2,1154
3,1086
4,1033
5,959
6,1139
7,1004
8,1001
9,1093
10,1083
11,1058
12,1021
13,998
14,1112
15,962
16,1032
17,1095
18,1130
19,976
20,1014
21,1200
22,1025
23,1145
24,1027
25,1125
26,959
27,1022
28,1018
29,1231
30,1028
31,1088
32,1042
33,1082
34,1033
35,1101
36,1210
37,1145
38,1157
39,1173
40,1177
41,1220
42,1202
43,1060
44,1182
45,977
46,1112
47,1105
48,982
49,1080
50,1069
51,1151
52,1064
53,1098
54,1019
55,1259
56,964
57,985
58,1001
59,1068
60,1011
61,930
62,1110
63,1002
64,1083
65,1085
66,1120
67,1238
68,1090
69,1050
70,1090
71,1134
72,1088
73,1168
74,1046
75,992
76,994
77,1041
78,1071
79,1075
80,1162
81,1055
82,1045
83,1351
84,1229
85,1212
86,1043
87,1070
88,1167
89,1104
90,1228
91,1055
92,1200
93,1284
94,1130
95,1112
96,917
97,1123
98,1040
99,1075
100,1202
101,1032
102,1167
103,1092
104,1114
105,1036
106,1143
107,1077
108,989
109,998
110,986
111,1105
112,967
113,1128
114,1130
115,1066
116,1053
117,1088
118,1175
119,1225
120,1077
121,1235
122,1013
123,1141
124,1083
125,1034
126,990
127,1033
128,1095
129,1100
130,1021
131,1228
132,1201
133,1098
134,1058
135,1106
136,1160
137,1115
138,1160
139,1251
140,1159
141,1186
142,1086
143,1134
144,950
145,1100
146,1125
147,1060
148,1101
149,990
150,958
151,995
152,928
153,1035
154,1145
155,1126
156,1106
157,986
158,970
159,1016
160,1097
161,1136
162,1065
163,1137
164,1032
165,1104
166,972
167,1089
168,1087
169,1069
170,1144
171,1049
172,1071
173,1284
174,1098
175,1034
176,1093
177,942
178,1111
179,1037
180,1196
181,1103
182,1172
183,1031
184,1086
185,1090
186,1173
187,1177
188,1124
189,1160
190,1065
191,1241
192,936
193,1152
194,1091
195,1054
196,1087
197,1082
198,994
199,1048
200,1080
201,957
202,1059
203,1109
204,905
205,1076
206,993
207,1051
208,991
209,1054
210,1090
211,1071
212,1094
213,1018
214,1089
215,1054
216,1037
217,1157
218,1082
219,998
220,1079
221,983
222,1076
223,1069
224,1102
225,1075
226,911
227,1085
228,1197
229,1039
230,1172
231,1141
232,1006
233,1092
234,1201
235,1057
236,1174
237,1296
238,1178
239,1151
240,1179
241,914
242,1002
243,1089
244,1190
245,1051
246,1153
247,931
248,1015
249,1030
250,1038
251,1094
252,935
253,951
254,1025
255,1179
256,977
257,1072
258,1046
259,1026
260,1012
261,1116
262,1111
263,973
264,1299
265,1259
266,1039
267,1141
268,1015
269,1095
270,1027
271,1063
272,1099
273,1064
274,1157
275,1142
276,1176
277,1227
278,1108
279,1095
280,1098
281,1111
282,1026
283,1091
284,1177
285,1182
286,1099
287,1056
288,1108
289,1071
290,1025
291,1071
292,1037
293,1108
294,1141
295,975
296,1044
297,1046
298,1204
299,920
300,1126
301,1062
302,975
303,1147
304,991
305,1021
306,927
307,1174
308,1000
309,984
310,1134
311,1063
312,1063
313,1178
314,1092
315,1084
316,1061
317,1148
318,1052
319,1101
320,1107
321,1049
322,1017
323,1123
324,1036
325,1167
326,1160
327,1268
328,1026
329,1095
330,1125
331,1093
332,1098
333,1117
334,1057
335,1190
336,1062
337,1014
338,1087
339,797
340,1136
341,1013
342,1126
343,1035
344,1049
345,1079
346,1131
347,1074
348,1013
349,1001
350,1036
351,1005
352,1053
353,1075
354,942
355,1086
356,1084
357,1056
358,1190
359,1019
360,1035
361,1107
362,1066
363,1097
364,981
365,1094
366,952
367,1147
368,1071
369,1170
370,987
371,1137
372,1108
373,1144
374,1063
375,1113
376,1086
377,1117
378,1064
379,1068
380,1121
381,1183
382,1118
383,1198
384,1158
385,1099
386,1023
387,1744
388,895
389,1132
390,1092
391,1024
392,1077
393,992
394,1067
395,1125
396,1017
397,1060
398,933
399,984
400,1219
401,1080
402,1075
403,1046
404,1057
405,1165
406,1017
407,1017
408,1269
409,1022
410,1141
411,1201
412,972
413,1045
414,1120
415,1346
416,1051
417,1002
418,1164
419,955
420,1085
421,1164
422,1132
423,1192
424,1162
425,1165
426,1249
427,998
428,1162
429,1063
430,1186
431,1147
432,1204
433,1121
434,1005
435,1114
436,1028
437,1066
438,1048
439,1185
440,980
441,1238
442,1057
443,1164
444,1010
445,1090
446,985
447,1052
448,1033
449,1112
450,1062
451,1097
452,1111
453,1027
454,1160
455,1067
456,1213
457,1111
458,1158
459,1240
460,1002
461,973
462,986
463,1083
464,1242
465,1104
466,1110
467,964
468,992
469,1140
470,1223
471,1115
472,1301
473,1070
474,1167
475,1176
476,1205
477,1233
478,1071
479,1131
480,1122
481,1094
482,1098
483,1124
484,1013
485,1076
486,1114
487,1141
488,1088
489,1171
490,1110
491,1193
492,986
493,1143
494,903
495,1046
496,1119
497,1051
498,1243
499,976
500,1124
501,1068
502,1065
503,1030
504,1127
505,1122
506,1245
507,1133
508,1060
509,1003
510,1358
511,1040
512,1031
513,1058
514,1042
515,1137
516,1082
517,1165
518,1233
519,1171
520,1141
521,1162
522,1260
523,1029
524,1159
525,1171
526,1173
527,1115
528,1202
529,1023
530,1071
531,1100
532,1058
533,966
534,1119
535,1109
536,1029
537,1010
538,1077
539,1002
540,1081
541,1009
542,1299
543,1168
544,965
545,1086
546,1002
547,1168
548,1116
549,1082
550,1151
551,1022
552,1105
553,1205
554,1049
555,1073
556,1201
557,1004
558,970
559,1155
560,1210
561,1077
562,1031
563,1161
564,1008
565,1033
566,1289
567,1155
568,1406
569,1072
570,1247
571,1196
572,1111
573,1095
574,1232
575,1184
576,1202
577,1319
578,1234
579,992
580,1117
581,1125
582,1165
583,1140
584,1147
585,1061
586,1101
587,1152
588,1175
589,1139
590,1112
591,1198
592,1164
593,1195
594,1296
595,1356
596,1225
597,1341
598,1375
599,1491
600,1471
601,1701
602,1694
603,2080
604,2554
605,3967
606,3579
607,4142
608,4754
609,5005
610,3933
611,3593
612,3609
613,3452
614,3367
615,3760
616,3338
617,2110
618,1742
619,1598
620,1528
621,1481
622,1457
623,1287
624,1377
625,1242
626,1157
627,1325
628,1097
629,1001
630,1262
631,1051
632,1117
633,1218
634,1090
635,1119
636,1074
637,1133
638,1132
639,1066
640,1150
641,1018
642,1120
643,1093
644,1180
645,1082
646,1147
647,1048
648,1032
649,1089
650,1129
651,1227
652,1069
653,1191
654,1160
655,997
656,1209
657,1097
658,1094
659,1139
660,1041
661,1038
662,973
663,1176
664,1191
665,1257
666,1191
667,1188
668,1152
669,1162
670,1173
671,1127
672,1118
673,1388
674,965
675,1153
676,1116
677,1074
678,1067
679,1076
680,1051
681,1050
682,1048
683,1136
684,1133
685,946
686,1046
687,1116
688,1004
689,1053
690,1108
691,1105
692,1116
693,1157
694,1143
695,1073
696,1137
697,1217
698,1222
699,1534
700,1594
701,1796
702,1648
703,1685
704,1660
705,1552
706,1630
707,1524
708,1717
709,1539
710,1596
711,1472
712,1284
713,1229
714,1178
715,1234
716,1237
717,1152
718,1164
719,1284
720,1131
721,1164
722,1230
723,988
724,1104
725,899
726,1148
727,1041
728,994
729,1033
730,1056
731,1060
732,1085
733,1154
734,1053
735,955
736,915
737,1044
738,991
739,1170
740,1000
741,1259
742,998
743,1222
744,1004
745,1110
746,976
747,1038
748,1121
749,1036
750,966
751,1013
752,1102
753,982
754,1062
755,1032
756,1035
757,2251
758,900
759,1138
760,998
761,1178
762,1093
763,1168
764,1090
765,1263
766,1213
767,1166
768,1110
769,1246
770,1285
771,1200
772,989
773,1100
774,1041
775,1036
776,1034
777,1074
778,1001
779,1041
780,1038
781,1070
782,1002
783,1023
784,1030
785,1023
786,974
787,1076
788,1036
789,1023
790,1091
791,995
792,1027
793,1080
794,1166
795,1020
796,1225
797,991
798,1176
799,1009
800,1193
801,1036
802,1003
803,1033
804,1032
805,1083
806,1056
807,1146
808,1108
809,1196
810,1144
811,1301
812,1083
813,1091
814,1191
815,1208
816,1115
817,1040
818,1269
819,1188
820,1052
821,1060
822,1147
823,1126
824,1033
825,1050
826,1110
827,1069
828,979
829,1069
830,1034
831,1107
832,956
833,1149
834,1071
835,915
836,1076
837,1068
838,1050
839,975
840,1071
841,1082
842,1056
843,1141
844,1169
845,1140
846,1170
847,1084
848,1050
849,1196
850,1081
851,934
852,1109
853,1048
854,937
855,1056
856,1233
857,1304
858,1099
859,1118
860,1251
861,1193
862,1155
863,1160
864,1175
865,1240
866,1105
867,1239
868,962
869,1297
870,1038
871,1188
872,1124
873,1063
874,1092
875,1040
876,1031
877,1167
878,1070
879,1039
880,997
881,982
882,988
883,1208
884,1170
885,1027
886,1084
887,1098
888,1044
889,1190
890,969
891,1114
892,1073
893,1171
894,1106
895,1075
896,1037
897,1153
898,1055
899,1024
900,987
901,1116
902,1090
903,1119
904,1053
905,1228
906,1106
907,1182
908,1022
909,1115
910,1203
911,1088
912,1191
913,1130
914,1165
915,1052
916,1063
917,1065
918,989
919,1127
920,1104
921,1110
922,1100
923,1164
924,1107
925,1083
926,1247
927,1093
928,1187
929,1197
930,1128
931,1291
932,1098
933,1164
934,1035
935,1120
936,1103
937,1139
938,1137
939,1123
940,1086
941,1032
942,1290
943,1121
944,1158
945,994
946,1039
947,1094
948,1011
949,1057
950,1062
951,1085
952,997
953,1143
954,1149
955,1139
956,1213
957,1155
958,1110
959,1310
960,1089
961,1112
962,1157
963,1139
964,1136
965,992
966,1214
967,766
968,1049
969,1095
970,1100
971,1114
972,1078
973,1102
974,941
975,1102
976,1124
977,1028
978,1091
979,1136
980,1031
981,1013
982,1096
983,1043
984,987
985,1069
986,1187
987,933
988,1087
989,1218
990,1083
991,1097
992,1077
993,1099
994,1065
995,1042
996,1107
997,1151
998,1064
999,946
1000,1057
1001,1116
1002,1116
1003,1244
1004,1108
1005,1149
1006,1239
1007,1086
1008,1173
1009,1194
1010,1119
1011,1111
1012,1200
1013,1165
1014,1279
1015,940
1016,1067
1017,1091
1018,1041
1019,1123
1020,1121
1021,1137
1022,1103
1023,1030
1024,1221
1025,1070
1026,992
1027,1022
1028,1134
1029,1101
1030,1127
1031,1089
1032,1151
1033,1263
1034,1071
1035,1126
1036,1234
1037,1398
1038,1266
1039,1200
1040,1254
1041,1195
1042,1173
1043,1060
1044,1329
1045,1076
1046,1067
1047,1170
1048,1031
1049,1275
1050,1223
1051,1074
1052,1211
1053,1220
1054,1130
1055,1187
1056,1236
1057,1139
1058,1185
1059,1169
1060,1244
1061,1051
1062,1097
1063,1233
1064,1105
1065,1161
1066,1164
1067,1003
1068,1114
1069,1024
1070,1083
1071,1119
1072,1047
1073,1269
1074,947
1075,1069
1076,1062
1077,1108
1078,1095
1079,1335
1080,1096
1081,1135
1082,1041
1083,1043
1084,1037
1085,1010
1086,1145
1087,1215
1088,1010
1089,1109
1090,915
1091,1221
1092,1120
1093,1041
1094,1045
1095,1051
1096,1101
1097,1234
1098,1173
1099,1177
1100,1254
1101,1095
1102,1131
1103,1267
1104,1055
1105,1222
1106,1108
1107,1075
1108,1082
1109,1164
1110,1041
1111,1081
1112,1013
1113,1097
1114,1003
1115,1132
1116,1030
1117,1031
1118,1155
1119,975
1120,1026
1121,1070
1122,1386
1123,917
1124,1051
1125,1045
1126,1024
1127,1182
1128,1103
1129,1014
1130,1184
1131,1134
1132,1115
1133,1094
1134,1150
1135,1165
1136,1080
1137,1060
1138,1119
1139,1180
1140,1033
1141,1075
1142,1188
1143,1054
1144,1210
1145,1167
1146,1246
1147,1149
1148,1085
1149,1190
1150,1132
1151,1127
1152,1306
1153,1142
1154,1190
1155,1173
1156,1173
1157,1178
1158,1120
1159,1062
1160,1181
1161,974
1162,1094
1163,1163
1164,1094
1165,1056
1166,1063
1167,1087
1168,1056
1169,1217
1170,1217
1171,909
1172,1175
1173,1103
1174,1126
1175,1127
1176,1006
1177,1058
1178,1087
1179,1029
1180,1109
1181,1258
1182,1254
1183,1237
1184,1030
1185,1218
1186,1122
1187,1146
1188,1059
1189,1061
1190,1217
1191,1102
1192,1075
1193,1065
1194,1217
1195,1243
1196,1056
1197,1132
1198,1176
1199,1183
1200,1185
1201,1274
1202,1106
1203,1346
1204,1144
1205,1117
1206,1055
1207,1046
1208,1126
1209,1121
1210,1120
1211,1124
1212,1126
1213,1191
1214,1047
1215,1053
1216,1077
1217,1159
1218,1203
1219,965
1220,1122
1221,1165
1222,1120
1223,1200
1224,1009
1225,1238
1226,1111
1227,1066
1228,1060
1229,1158
1230,1121
1231,1223
1232,1158
1233,1169
1234,1087
1235,1111
1236,1026
1237,1108
1238,1031
1239,1170
1240,1079
1241,1096
1242,1018
1243,1106
1244,1245
1245,1223
1246,1292
1247,1139
1248,1207
1249,1134
1250,1265
1251,1141
1252,1246
1253,1186
1254,1082
1255,1066
1256,1121
1257,1061
1258,1170
1259,1207
1260,1070
1261,1020
1262,1094
1263,1038
1264,1077
1265,1091
1266,1185
1267,980
1268,1019
1269,971
1270,1108
1271,1189
1272,1090
1273,1270
1274,1109
1275,1139
1276,1160
1277,1165
1278,1022
1279,1148
1280,1135
1281,1297
1282,1099
1283,1079
1284,1163
1285,1066
1286,1154
1287,1087
1288,1067
1289,1151
1290,1113
1291,1208
1292,1081
1293,1341
1294,1135
1295,1297
1296,1111
1297,1206
1298,1158
1299,1157
1300,1260
1301,1244
1302,1198
1303,1124
1304,1105
1305,1085
1306,1097
1307,1149
1308,1159
1309,1011
1310,1055
1311,1089
1312,1164
1313,994
1314,1267
1315,1130
1316,1045
1317,1121
1318,1431
1319,923
1320,1077
1321,1104
1322,1088
1323,1250
1324,1103
1325,1201
1326,1100
1327,1169
1328,1186
1329,1108
1330,1192
1331,1100
1332,1148
1333,1204
1334,1054
1335,1115
1336,1039
1337,1058
1338,1235
1339,1298
1340,1134
1341,1217
1342,1232
1343,1226
1344,1250
1345,1258
1346,1142
1347,1253
1348,1293
1349,1246
1350,1223
1351,1341
1352,1281
1353,1248
1354,1183
1355,1260
1356,1167
1357,1185
1358,1218
1359,1122
1360,1413
1361,1193
1362,1277
1363,1272
1364,1250
1365,1216
1366,1285
