Wavelength [nm],spectra
374.779,4
374.857,0.643922437
374.936,0.996709872
375.014,0.848732323
375.093,0.931177203
375.171,1.791612682
375.250,1.105139782
375.328,0.67331912
375.407,4
375.485,0.819383411
375.563,0.871984782
375.642,0.735796671
375.720,1.472268749
375.799,1.030911463
375.877,0.830374781
375.955,0.897293786
376.034,1.568201721
376.112,0.848228102
376.191,0.951792321
376.269,0.680570511
376.347,0.877739345
376.426,0.621258452
376.504,4
376.583,0.698274575
376.661,0.973377518
376.739,1.144885416
376.818,1.118890615
376.896,0.919938276
376.974,4
377.053,0.546417703
377.131,4
377.209,1.072815721
377.288,1.421350765
377.366,0.696426543
377.444,1.62748634
377.523,0.582493867
377.601,1.511369096
377.679,0.679337531
377.758,1.06041592
377.836,4
377.914,1.040428655
377.993,0.617926393
378.071,1.399059322
378.149,0.921433247
378.227,1.176590159
378.306,1.382539901
378.384,1.693140457
378.462,1.366847277
378.540,0.865301424
378.619,0.690378786
378.697,0.801014132
378.775,0.864951892
378.853,0.990036601
378.932,1.2578317
379.010,1.073577366
379.088,0.764019847
379.166,1.056992417
379.245,0.762491002
379.323,1.158636579
379.401,0.893876063
379.479,0.892663209
379.558,0.809750235
379.636,1.049115966
379.714,0.823642219
379.792,1.017886661
379.870,0.978585299
379.949,1.483854634
380.027,0.945127913
380.105,0.84554097
380.183,0.783290888
380.261,1.173711555
380.339,0.806617549
380.418,0.839420905
380.496,0.802080302
380.574,1.473942919
380.652,0.853437451
380.730,0.885161588
380.808,0.867925568
380.887,0.895129648
380.965,2.106239474
381.043,0.898399474
381.121,0.895072013
381.199,2.080987043
381.277,0.780135238
381.355,0.791004816
381.433,0.75696195
381.512,1.063769784
381.590,0.71467166
381.668,0.892017262
381.746,0.900652404
381.824,1.565543154
381.902,0.808396573
381.980,1.047172353
382.058,0.849968682
382.136,1.105605853
382.214,0.83805639
382.292,0.932340666
382.371,1.29023703
382.449,0.876987183
382.527,1.257278485
382.605,1.11892575
382.683,0.978138997
382.761,1.063649724
382.839,0.953469741
382.917,1.493690353
382.995,1.146128033
383.073,0.743702004
383.151,0.883030191
383.229,1.056695096
383.307,1.061467864
383.385,0.817202718
383.463,0.986044046
383.541,0.994121133
383.619,0.778532042
383.697,1.266826362
383.775,0.749048867
383.853,0.921304404
383.931,1.021747875
384.009,1.056318361
384.087,1.176467106
384.165,0.963644754
384.243,0.806248859
384.321,1.164420453
384.399,1.053115753
384.477,1.583036751
384.555,0.98038217
384.633,0.825330326
384.711,1.068257237
384.788,0.950258126
384.866,0.966576243
384.944,1.060527693
385.022,1.034122538
385.100,0.794798128
385.178,0.881429078
385.256,1.635986108
385.334,0.905746229
385.412,1.345812972
385.490,0.962868961
385.568,1.184909722
385.645,0.860019257
385.723,1.20827594
385.801,1.693726945
385.879,0.989170787
385.957,0.835545722
386.035,0.805629419
386.113,0.940327993
386.191,0.891098084
386.268,0.839133655
386.346,0.876467505
386.424,1.22174016
386.502,0.990204654
386.580,0.964873223
386.658,0.979265296
386.735,0.817758125
386.813,1.145801373
386.891,0.847635924
386.969,0.902184261
387.047,0.849191968
387.125,1.155455118
387.202,1.178038769
387.280,1.752688525
387.358,0.985375906
387.436,1.111320967
387.514,0.896410846
387.591,1.124458054
387.669,0.850446173
387.747,1.051012628
387.825,0.93735762
387.902,0.955926474
387.980,0.764546777
388.058,1.325249971
388.136,1.01993411
388.213,0.844503928
388.291,1.207159142
388.369,0.845996269
388.447,0.710997839
388.524,0.867201184
388.602,1.004321372
388.680,0.786369791
388.758,0.925530854
388.835,1.135450697
388.913,0.785329833
388.991,1.176399158
389.068,0.95814563
389.146,1.000266355
389.224,1.31279694
389.302,1.511105749
389.379,1.054067259
389.457,1.05051805
389.535,1.07112787
389.612,0.912616268
389.690,0.900195555
389.768,0.933093419
389.845,1.181073657
389.923,0.969662866
390.001,0.922784293
390.078,0.946473168
390.156,0.819431437
390.234,1.005095206
390.311,0.79735881
390.389,0.964774734
390.466,1.008182026
390.544,1.191530853
390.622,0.890038418
390.699,1.144283893
390.777,0.849411365
390.854,1.130593124
390.932,0.773199149
391.010,0.892418822
391.087,0.964113261
391.165,1.071299095
391.242,1.08972726
391.320,1.502480671
391.398,1.128960008
391.475,0.983400736
391.553,0.886245429
391.630,0.928619854
391.708,1.102077993
391.785,0.975547326
391.863,0.847897485
391.941,1.05788189
392.018,0.947366989
392.096,0.985507075
392.173,0.905975673
392.251,1.203607538
392.328,0.991918728
392.406,1.122089792
392.483,0.999254854
392.561,0.956486928
392.638,0.884115851
392.716,0.913661046
392.793,0.911838659
392.871,1.071882005
392.948,1.094604697
393.026,1.07827552
393.103,0.930666083
393.181,0.956648577
393.258,0.959910379
393.336,1.002507084
393.413,1.110540914
393.491,0.942979052
393.568,1.136864633
393.646,1.296024972
393.723,1.114176904
393.800,1.054652898
393.878,0.862307072
393.955,1.000476983
394.033,0.939635326
394.110,1.142062845
394.188,0.935869511
394.265,1.117907526
394.342,1.096910011
394.420,0.813866801
394.497,1.054282071
394.575,0.983732385
394.652,0.946629182
394.729,0.968526184
394.807,0.972080517
394.884,1.062238942
394.962,0.824139686
395.039,0.936269136
395.116,0.909530456
395.194,1.016555828
395.271,0.902223994
395.348,1.24471163
395.426,0.99237104
395.503,0.980745199
395.580,0.874119531
395.658,1.082117094
395.735,1.008870421
395.812,0.940299272
395.890,0.857718706
395.967,1.040765543
396.044,1.027360747
396.122,0.845098038
396.199,0.933239561
396.276,1.034214098
396.354,0.988112838
396.431,1.158932697
396.508,0.898665894
396.586,0.980139566
396.663,1.070090066
396.740,0.900438731
396.817,0.947505861
396.895,0.912691292
396.972,0.954866046
397.049,0.939002541
397.127,0.782638464
397.204,0.919264924
397.281,0.936441061
397.358,1.037467997
397.436,0.852690793
397.513,1.076748215
397.590,0.835830109
397.667,1.019702495
397.744,0.936948252
397.822,0.988154869
397.899,0.999175909
397.976,1.012897742
398.053,0.959682593
398.131,1.092642679
398.208,0.901384266
398.285,1.114561563
398.362,0.862583435
398.439,1.014800456
398.516,0.877131447
398.594,0.919612466
398.671,0.91100085
398.748,0.955394483
398.825,0.905776747
398.902,1.085464095
398.979,0.868524526
399.057,1.105779012
399.134,0.936261384
399.211,1.217776297
399.288,0.917561289
399.365,0.966337315
399.442,0.91805356
399.519,0.921011729
399.597,0.829165483
399.674,1.167412625
399.751,1.046661327
399.828,0.948724079
399.905,0.940459763
399.982,0.978182349
400.059,0.991406917
