Wavelength [nm],led.RAW8,peaks.RAW8,sodium.RAW8
378.466,39.20000076,85.40000153,-18
378.544,-28,85.40000153,0
378.621,8.600000381,57.40000153,-8.800000191
378.699,-8,60.40000153,-12.39999962
378.777,37.59999847,67.19999695,1.600000024
378.854,-27.20000076,57.59999847,-5.599999905
378.932,5,88,5.400000095
379.010,-18,74,6.400000095
379.087,24.79999924,97,-1.799999952
379.165,-19.39999962,75,-3.400000095
379.242,6.800000191,109.8000031,15.60000038
379.320,-9,78,-1.399999976
379.398,-3.599999905,82,-27.79999924
379.475,-11,89.40000153,7.800000191
379.553,22,129.6000061,6.400000095
379.630,13,87.40000153,9
379.708,21.79999924,91.59999847,17.79999924
379.786,-5.800000191,110.4000015,13.60000038
379.863,-4.800000191,91.59999847,6
379.941,-23.39999962,89.80000305,-24.20000076
380.018,40.20000076,128,-17.60000038
380.096,-2,143.1999969,8.399999619
380.174,7,101,5.599999905
380.251,-17.39999962,88.80000305,13.60000038
380.329,36.40000153,132.1999969,-8.399999619
380.406,5.400000095,113,-12
380.484,29,144.6000061,-37
380.561,-21.60000038,68.19999695,3.200000048
380.639,22.39999962,98,-14
380.716,12.19999981,99.19999695,0
380.794,35.40000153,138.1999969,-9.199999809
380.872,1,125.4000015,6
380.949,27.39999962,119.4000015,-13.39999962
381.027,36,113,8.800000191
381.104,-21.60000038,91.40000153,-10.60000038
381.182,-31.20000076,98.80000305,12.60000038
381.259,-24.39999962,97.59999847,-10.80000019
381.337,-21.60000038,112.1999969,-19.60000038
381.414,40.59999847,179.8000031,5
381.492,28,98.80000305,27.60000038
381.569,3.599999905,132.6000061,-2.400000095
381.647,-5.800000191,125.4000015,-3.200000048
381.724,1,138.8000031,-1.399999976
381.802,-0.200000003,142.3999939,22
381.879,29,146.3999939,-4
381.957,-4.199999809,138,-43.20000076
382.034,-0.200000003,185,-1.799999952
382.112,-34.20000076,168,-5.199999809
382.189,9.800000191,161.8000031,-23.20000076
382.267,5.400000095,159.1999969,5.199999809
382.344,9.600000381,109,-15
382.421,-13.39999962,137,-3
382.499,38.40000153,197.6000061,9
382.576,5.199999809,197,-9.600000381
382.654,-5,153.3999939,-30
382.731,11.60000038,182.8000031,3.599999905
382.809,14.39999962,168.3999939,11.60000038
382.886,8.800000191,162.1999969,-0.400000006
382.963,-3,186.1999969,-27.39999962
383.041,-5,128,-21.79999924
383.118,-7.199999809,175,-8.600000381
383.196,15.39999962,149.1999969,-8.399999619
383.273,15,160.3999939,-8.600000381
383.351,-50.59999847,130,-17.79999924
383.428,11.60000038,195.6000061,-13.60000038
383.505,-18.39999962,175.3999939,-12
383.583,2.599999905,168.6000061,-5.800000191
383.660,-19,151.6000061,-45.79999924
383.737,35,218.6000061,8.800000191
383.815,-11.80000019,207.1999969,-0.400000006
383.892,6.599999905,180.6000061,-19.39999962
383.970,1.799999952,156.6000061,-13.80000019
384.047,2.799999952,181.8000031,-28.39999962
384.124,23,187.1999969,-15
384.202,43.20000076,208.3999939,-11.19999981
384.279,-9.399999619,183.1999969,-13.80000019
384.356,1,195.1999969,2.799999952
384.434,-1,218.8000031,-5
384.511,21.39999962,231.8000031,-2.200000048
384.588,11.19999981,185.6000061,4.400000095
384.666,-7.199999809,286.6000061,2.799999952
384.743,-18.39999962,278,-11.80000019
384.820,10.60000038,322.7999878,-12
384.898,-15.39999962,325.7999878,-8.199999809
384.975,6.199999809,434,-6.199999809
385.052,-18.79999924,391.7999878,5.199999809
385.130,30,322,3.400000095
385.207,3.599999905,279.7999878,13
385.284,-16.60000038,339,1.399999976
385.362,14.80000019,372.7999878,20.60000038
385.439,22.39999962,380,21.39999962
385.516,-15.80000019,279.7999878,1.399999976
385.593,30.20000076,317,-8.199999809
385.671,1.399999976,268.7999878,-12.19999981
385.748,-10.80000019,272.2000122,-9.800000191
385.825,-4.199999809,298.6000061,-6.400000095
385.902,13.19999981,334.2000122,-39.59999847
385.980,11.60000038,393.7999878,3.799999952
386.057,20.60000038,449.6000061,-24.79999924
386.134,46,406.7999878,29.39999962
386.211,9.399999619,274.6000061,-31.39999962
386.289,-20.79999924,211.6000061,-25.20000076
386.366,25.20000076,208.6000061,-8
386.443,10.39999962,199,-10
386.520,21.60000038,252.8000031,-11.80000019
386.598,-16,209.6000061,25
386.675,29.20000076,285.6000061,-29.39999962
386.752,-26.39999962,293,-21.20000076
386.829,2,346.2000122,-3.400000095
386.906,-16.79999924,413.3999939,-31.20000076
386.984,-19.20000076,476,6
387.061,-5.400000095,584.4000244,9.199999809
387.138,23.79999924,450.6000061,-32.20000076
387.215,3,213.1999969,4.800000191
387.292,19.60000038,127.8000031,-23.39999962
387.370,15.60000038,144,-1.200000048
387.447,18.39999962,138.3999939,-2.599999905
387.524,-0.200000003,162,3.400000095
387.601,24.79999924,169.8000031,-8.399999619
387.678,-9,218.3999939,-9.600000381
387.755,14.19999981,233.3999939,1.399999976
387.833,15,262.6000061,23
387.910,-7.599999905,301.6000061,-31.39999962
387.987,20.39999962,362.3999939,34
388.064,1,462.6000061,-0.800000012
388.141,4,612,-0.200000003
388.218,55.79999924,792.7999878,1.200000048
388.295,-13.39999962,779,-35
388.373,13,329.7999878,-19.20000076
388.450,4.199999809,79,-23.79999924
388.527,34.20000076,60.59999847,11.39999962
388.604,-18.60000038,63.40000153,-3.799999952
388.681,-12.19999981,61.79999924,23
388.758,-15.60000038,58.20000076,-18.20000076
388.835,8.399999619,61.59999847,-14.80000019
388.912,10.39999962,30.79999924,-10
388.989,3.200000048,64.59999847,-23.20000076
389.067,-14.80000019,31.39999962,-13
389.144,2,40.40000153,-37.20000076
389.221,7.599999905,55,-16
389.298,25.39999962,46.59999847,6.599999905
389.375,20,80.80000305,1
389.452,11.39999962,53.79999924,14.19999981
389.529,23.20000076,30.39999962,-3.799999952
389.606,11.60000038,37.20000076,-42.79999924
389.683,-8,42.20000076,-13
389.760,27.79999924,45.59999847,-6
389.837,3,36.79999924,18
389.914,26.79999924,57.20000076,11.80000019
389.991,22.20000076,42.79999924,24.20000076
